student_id,subject,ct_1,ct_2,ct_3,ct_4,ct_5,ct_6,ct_7,ct_8,ct_9,ct_10,ct_11,ct_12,term_1,term_2,term_3,model_1,model_2,model_3,model_4,final_result
1010,Math,35,32,49,40,33,52,41,33,17,46,43,40,34,29,37,42,38,38,35,0
1010,Physics,45,59,49,33,63,9,26,19,43,39,11,36,46,51,16,26,54,37,35,0
1010,Chemistry,70,94,78,63,79,58,70,93,98,44,80,99,63,73,88,65,74,69,50,1
1010,Biology,90,100,51,99,90,90,80,56,100,85,94,86,84,100,80,83,81,83,83,1
1011,Math,26,35,32,60,44,27,31,57,46,44,50,63,25,31,19,44,36,33,32,0
1011,Physics,50,17,23,47,67,46,39,32,17,28,54,41,50,46,24,52,49,24,20,0
1011,Chemistry,21,35,42,37,51,68,59,35,29,30,25,40,45,42,42,41,38,32,57,0
1011,Biology,70,51,53,50,63,56,76,56,50,70,71,71,69,47,71,54,60,50,37,1
1012,Math,69,69,97,93,56,83,78,79,76,78,79,98,65,76,83,76,65,73,74,1
1012,Physics,67,69,51,75,74,55,70,86,85,85,67,64,65,77,98,84,85,83,53,1
1012,Chemistry,54,18,49,76,37,34,32,47,28,27,43,65,43,32,24,44,48,31,31,0
1012,Biology,89,74,83,87,66,79,93,100,55,100,98,68,67,89,79,86,93,81,86,1
1013,Math,81,96,52,74,71,87,52,75,50,79,65,64,81,66,70,68,68,66,61,1
1013,Physics,47,36,42,34,64,40,66,68,37,55,47,38,51,52,63,65,44,50,60,0
1013,Chemistry,100,48,100,82,100,78,72,85,100,85,49,95,65,73,71,66,72,75,78,1
1013,Biology,39,54,37,64,9,41,41,52,62,21,45,43,30,34,41,37,52,32,40,0
1014,Math,81,36,95,85,85,82,100,80,100,93,90,91,86,71,93,92,83,92,93,1
1014,Physics,20,59,18,34,28,49,58,46,40,53,24,43,31,36,45,52,51,39,30,0
1014,Chemistry,84,55,90,85,76,58,67,72,73,68,66,72,86,45,53,54,63,52,75,1
1014,Biology,41,53,34,30,43,30,75,17,40,19,26,21,62,51,68,63,57,49,61,0
1015,Math,58,30,66,36,57,58,45,64,39,57,46,52,78,56,41,53,47,55,56,0
1015,Physics,56,61,70,45,54,55,73,71,44,56,32,40,55,62,66,51,41,58,53,1
1015,Chemistry,95,94,97,78,99,77,86,100,90,67,100,100,98,87,89,82,78,100,81,1
1015,Biology,47,24,45,26,48,32,79,50,64,58,64,64,56,72,65,50,47,66,58,0
1016,Math,40,39,66,57,55,60,63,58,58,50,57,67,60,65,64,58,49,69,58,0
1016,Physics,53,48,41,35,60,83,35,75,45,24,57,61,75,40,52,68,37,53,58,0
1016,Chemistry,69,79,80,75,81,62,45,83,71,65,81,37,73,61,65,62,54,76,45,1
1016,Biology,58,46,59,89,92,89,58,67,94,59,64,55,56,84,77,74,75,80,85,1
1017,Math,68,38,24,27,57,5,25,51,29,31,47,38,48,37,33,33,28,40,43,0
1017,Physics,43,39,66,64,50,40,58,41,52,56,44,51,51,40,52,48,36,51,52,0
1017,Chemistry,75,54,96,95,94,89,66,86,71,100,77,95,66,70,78,92,90,87,66,1
1017,Biology,86,89,40,51,84,71,100,45,80,60,76,100,49,60,71,74,77,72,75,1
1018,Math,46,72,25,41,61,52,100,93,32,38,52,81,68,58,38,46,28,39,59,1
1018,Physics,51,64,42,35,49,47,41,32,33,41,31,60,50,53,64,55,54,43,38,1
1018,Chemistry,60,57,73,76,85,66,44,74,84,70,68,78,87,69,53,64,68,52,77,1
1018,Biology,58,70,71,50,67,76,65,57,74,93,69,76,74,69,80,64,72,71,91,1
1019,Math,52,24,29,22,60,30,48,27,41,30,4,41,46,14,37,35,29,37,20,0
1019,Physics,43,34,27,56,48,30,39,52,43,37,33,40,36,60,24,28,27,30,31,0
1019,Chemistry,46,40,49,64,71,58,46,48,63,72,50,53,45,57,66,25,57,49,31,1
1019,Biology,89,83,90,64,100,86,79,100,94,97,100,53,100,80,88,94,77,88,92,1
1020,Math,5,27,57,15,37,37,40,44,11,42,42,35,45,37,6,34,22,32,26,0
1020,Physics,88,90,90,87,90,88,91,78,84,100,100,94,89,76,87,82,94,75,61,1
1020,Chemistry,73,45,43,94,67,55,64,59,51,63,58,63,70,73,79,73,79,52,60,1
1020,Biology,29,28,27,41,65,28,54,45,19,53,27,17,30,31,47,32,54,42,32,0
1021,Math,68,56,96,65,74,49,56,89,42,68,64,22,86,63,76,86,75,58,80,1
1021,Physics,59,36,49,33,45,30,42,70,51,62,28,29,39,46,37,50,34,53,49,0
1021,Chemistry,75,65,80,68,76,60,67,55,100,100,79,64,54,67,58,71,60,75,59,1
1021,Biology,44,38,21,87,40,42,37,45,48,64,57,59,47,54,69,54,58,34,60,1
1022,Math,13,55,53,56,45,57,65,55,50,51,48,55,46,30,71,37,53,41,51,0
1022,Physics,40,35,59,74,59,56,38,53,61,44,67,53,58,48,48,56,58,58,44,1
1022,Chemistry,11,54,44,39,28,51,35,67,45,16,50,31,33,36,37,41,47,44,32,0
1022,Biology,48,89,87,72,100,68,69,52,76,82,63,50,91,62,88,73,75,70,51,1
1023,Math,18,33,41,62,28,44,7,20,26,31,45,48,19,45,25,57,42,40,37,0
1023,Physics,38,18,37,42,31,38,36,38,32,39,66,59,40,26,25,33,44,37,30,0
1023,Chemistry,39,42,51,69,70,44,62,67,75,51,42,65,72,47,77,71,51,38,48,0
1023,Biology,48,90,89,43,26,51,60,74,64,50,24,61,64,50,57,56,51,42,57,0
1024,Math,17,59,25,46,27,44,35,46,27,14,34,33,21,30,19,40,35,39,65,0
1024,Physics,86,78,88,100,74,82,86,84,77,68,82,72,69,76,94,89,88,91,80,1
1024,Chemistry,27,36,22,25,49,47,21,21,77,29,25,46,29,34,49,49,37,52,37,0
1024,Biology,35,63,27,41,51,39,38,45,36,56,35,24,72,32,47,44,37,23,54,0
1025,Math,82,84,100,71,68,46,57,52,53,55,45,67,73,78,67,79,79,54,66,1
1025,Physics,35,58,50,82,19,65,59,50,49,80,47,60,45,73,38,42,59,54,54,1
1025,Chemistry,44,32,37,50,76,38,57,55,65,62,56,37,45,45,64,36,37,40,62,1
1025,Biology,67,78,82,60,61,31,87,57,85,47,89,80,61,72,47,77,57,68,93,1
1026,Math,85,49,67,70,71,64,57,23,60,55,65,82,96,76,81,76,77,75,67,1
1026,Physics,64,97,75,88,100,74,65,81,81,67,80,56,39,71,43,82,87,75,61,1
1026,Chemistry,33,20,31,50,44,58,23,55,40,42,58,38,43,47,47,48,53,45,35,0
1026,Biology,100,70,84,83,78,100,59,86,73,87,100,95,96,82,56,72,72,63,87,1
1027,Math,88,80,62,88,87,100,92,60,100,97,97,92,77,91,81,100,83,74,82,1
1027,Physics,77,94,40,63,61,39,41,67,48,50,65,57,69,56,61,56,63,64,50,0
1027,Chemistry,40,75,83,69,62,66,68,46,61,59,64,84,78,65,61,61,55,58,64,1
1027,Biology,27,68,44,28,40,64,50,39,20,15,35,38,20,24,39,18,23,39,45,0
1028,Math,72,88,87,74,100,100,100,78,100,100,83,67,82,60,76,83,86,99,85,1
1028,Physics,86,72,66,78,70,88,94,76,53,79,91,80,74,81,86,44,85,78,75,1
1028,Chemistry,66,63,87,99,73,82,81,77,63,57,71,66,66,66,62,82,64,58,61,1
1028,Biology,42,37,66,47,55,37,40,51,80,62,30,62,66,64,41,54,76,46,58,0
1029,Math,49,71,73,42,48,42,24,65,79,78,48,75,68,51,55,51,58,73,46,1
1029,Physics,68,57,70,73,76,90,100,83,88,74,100,100,82,77,100,95,76,68,82,1
1029,Chemistry,72,41,38,85,79,42,62,50,42,87,42,70,51,64,66,54,53,53,64,0
1029,Biology,54,46,76,65,53,83,60,65,59,63,24,45,41,68,45,73,58,40,42,0
1030,Math,65,35,22,56,46,60,86,47,59,46,47,55,62,48,59,44,47,74,51,1
1030,Physics,59,50,70,46,38,42,55,60,68,68,31,55,57,75,44,62,65,48,36,1
1030,Chemistry,27,15,14,34,41,47,54,15,52,46,37,54,60,43,11,37,28,26,58,0
1030,Biology,81,75,92,100,73,82,77,79,63,60,80,63,82,80,65,74,71,69,82,1
1031,Math,68,97,86,92,74,57,89,65,67,88,61,76,84,85,100,97,68,98,90,1
1031,Physics,47,27,59,53,44,67,27,36,44,67,51,44,62,50,48,53,59,83,45,1
1031,Chemistry,82,100,98,96,80,74,91,82,78,96,68,76,95,85,94,77,93,79,99,1
1031,Biology,83,50,74,74,89,73,50,61,87,71,66,51,54,47,86,82,63,74,74,1
1032,Math,62,75,71,47,60,54,64,60,57,68,58,68,57,55,67,66,69,62,54,1
1032,Physics,45,54,41,46,52,16,30,39,34,45,40,68,59,36,39,49,27,41,40,0
1032,Chemistry,70,64,47,60,59,61,41,61,57,60,60,35,67,65,40,55,47,51,66,1
1032,Biology,80,55,73,35,98,75,78,74,58,69,59,63,75,56,90,60,79,64,58,1
1033,Math,70,82,81,59,74,51,89,86,58,57,88,61,67,65,88,69,66,72,91,1
1033,Physics,62,80,62,41,73,57,80,46,62,51,66,45,65,50,44,60,57,34,54,1
1033,Chemistry,100,60,69,44,48,61,68,67,79,80,85,67,75,61,74,74,64,37,63,1
1033,Biology,78,56,36,15,43,37,52,45,21,46,23,24,47,49,19,46,34,32,45,0
1034,Math,26,71,42,83,23,38,40,58,64,46,63,35,48,40,48,48,57,89,41,1
1034,Physics,81,100,69,96,72,96,87,88,75,56,68,95,81,93,68,91,94,62,87,1
1034,Chemistry,56,87,50,65,48,66,60,51,64,67,39,44,71,41,56,42,68,48,45,0
1034,Biology,75,70,85,62,78,95,52,70,62,64,76,52,78,55,54,71,66,76,62,1
1035,Math,74,63,76,56,72,58,87,30,82,83,69,75,72,85,89,70,86,63,74,1
1035,Physics,46,42,52,47,31,27,22,42,0,44,35,31,51,43,34,32,33,42,33,0
1035,Chemistry,54,37,11,50,39,34,59,30,49,42,78,12,42,44,53,35,33,53,35,0
1035,Biology,44,10,21,51,20,37,59,38,46,29,49,68,37,48,33,38,42,36,39,0
1036,Math,37,59,50,55,69,45,71,50,51,74,60,48,53,57,37,61,54,41,45,1
1036,Physics,67,38,57,16,53,46,62,57,49,86,66,43,58,20,47,67,49,56,43,1
1036,Chemistry,84,98,100,96,58,90,88,67,60,78,79,83,75,86,87,81,88,78,68,1
1036,Biology,54,68,55,54,62,72,28,56,39,50,47,66,63,61,54,50,46,42,76,1
1037,Math,28,47,28,31,39,43,29,23,16,39,51,52,49,42,30,45,38,22,31,0
1037,Physics,30,58,77,60,71,50,39,55,49,37,69,56,46,56,52,60,70,48,42,0
1037,Chemistry,60,75,30,25,21,39,41,35,52,27,30,20,56,52,55,31,53,42,46,0
1037,Biology,63,41,28,44,47,28,45,35,56,67,27,55,43,46,61,64,55,50,73,0
1038,Math,91,63,87,100,86,90,94,63,100,83,61,100,82,89,52,89,94,95,65,1
1038,Physics,31,38,31,41,43,49,38,50,34,48,57,13,37,42,17,9,43,33,47,0
1038,Chemistry,46,23,37,47,39,54,19,29,27,52,20,43,48,47,37,36,45,38,36,0
1038,Biology,61,78,97,84,74,97,79,98,74,89,100,91,90,90,95,85,89,82,100,1
1039,Math,96,67,77,69,72,100,100,100,90,74,76,60,56,88,76,79,98,91,89,1
1039,Physics,21,19,54,60,22,4,14,53,31,55,19,25,38,52,37,29,42,40,44,0
1039,Chemistry,25,34,36,53,58,39,31,41,55,63,19,24,54,46,63,40,33,39,50,0
1039,Biology,56,85,77,60,93,67,57,82,79,69,70,78,92,68,54,64,74,67,63,1
1040,Math,77,75,62,61,60,60,52,89,71,78,49,73,60,53,78,71,52,63,60,1
1040,Physics,34,71,50,37,43,55,48,39,60,39,47,55,44,54,45,79,49,60,44,1
1040,Chemistry,32,32,37,50,65,67,38,64,62,27,30,35,60,35,34,51,36,36,43,0
1040,Biology,54,29,49,25,73,47,80,59,53,70,77,55,29,51,66,52,48,39,54,0
1041,Math,36,22,32,51,12,42,40,51,56,26,28,27,37,52,31,52,56,37,37,0
1041,Physics,63,69,71,65,67,79,57,77,50,40,53,48,59,75,58,64,75,71,55,1
1041,Chemistry,92,100,97,83,84,88,100,54,69,53,94,77,95,83,84,98,93,78,100,1
1041,Biology,44,34,55,53,33,47,16,40,25,32,54,71,41,37,35,47,37,49,54,0
1042,Math,33,47,28,53,44,22,55,12,31,75,65,39,46,29,60,31,45,47,39,0
1042,Physics,34,43,33,19,31,24,44,53,43,44,36,41,15,40,49,34,46,24,39,0
1042,Chemistry,51,21,0,72,70,0,32,18,43,39,43,46,51,15,12,36,44,45,31,0
1042,Biology,76,75,39,66,64,28,63,62,73,53,60,59,51,73,65,69,57,65,44,1
1043,Math,60,65,57,57,49,70,66,70,57,78,85,37,62,57,65,55,76,69,69,1
1043,Physics,64,60,65,52,69,62,36,41,58,64,70,33,30,78,50,64,54,40,68,1
1043,Chemistry,63,39,53,69,43,57,71,35,48,56,68,52,45,61,47,58,58,52,63,1
1043,Biology,57,36,34,40,57,37,34,20,37,39,25,35,45,56,36,59,49,48,45,0
1044,Math,27,42,42,38,52,28,77,65,20,56,39,62,26,29,48,68,36,40,42,0
1044,Physics,60,73,83,76,94,54,36,72,84,86,62,79,62,78,61,59,80,58,55,1
1044,Chemistry,56,68,27,34,62,40,69,54,64,55,65,13,61,48,65,50,39,63,62,1
1044,Biology,90,74,83,94,88,100,58,68,79,90,75,81,94,87,82,93,77,71,95,1
1045,Math,41,50,60,33,52,56,46,52,89,55,85,59,46,61,50,54,32,58,49,0
1045,Physics,87,54,70,64,58,98,68,83,92,76,79,77,81,76,76,71,65,65,63,1
1045,Chemistry,42,76,68,49,66,57,64,84,79,70,49,57,48,53,74,64,66,71,58,1
1045,Biology,40,75,64,51,49,62,60,48,52,60,48,50,49,50,39,45,58,62,54,1
1046,Math,61,79,72,51,49,48,80,58,41,69,67,25,47,67,65,42,55,63,58,0
1046,Physics,24,37,49,47,25,74,43,18,35,0,30,39,68,42,44,47,42,34,53,0
1046,Chemistry,44,80,63,74,97,51,57,74,49,71,57,57,77,65,64,73,59,77,78,1
1046,Biology,72,59,49,95,60,46,68,45,50,70,46,33,63,65,39,52,66,57,63,0
1047,Math,47,51,58,16,27,56,65,46,56,40,35,58,55,49,40,56,55,53,54,1
1047,Physics,65,97,91,70,52,80,61,92,49,64,93,70,78,78,64,78,61,67,91,1
1047,Chemistry,100,69,65,72,82,82,85,84,82,67,80,65,87,65,84,81,99,80,79,1
1047,Biology,83,89,72,63,76,54,96,73,48,53,62,62,75,80,82,75,61,80,82,1
1048,Math,83,96,74,79,100,64,81,88,66,86,81,100,82,88,88,83,83,92,98,1
1048,Physics,33,32,36,38,38,57,28,42,20,57,50,54,41,38,24,42,53,13,56,0
1048,Chemistry,66,53,67,58,70,83,63,73,60,79,76,59,55,72,50,70,74,46,69,1
1048,Biology,44,53,46,31,50,45,31,42,67,23,54,37,47,44,43,38,40,46,44,0
1049,Math,65,37,40,69,75,56,45,73,65,60,38,41,38,52,61,48,39,51,50,1
1049,Physics,56,77,78,56,79,68,69,50,73,58,86,63,52,63,63,63,69,70,69,1
1049,Chemistry,50,52,45,77,51,28,61,40,61,52,73,61,50,71,86,49,65,58,59,1
1049,Biology,36,57,47,81,72,65,40,54,76,25,31,43,66,57,60,56,56,66,90,0
1050,Math,47,59,33,63,41,42,33,28,32,25,21,67,45,51,46,26,40,31,32,0
1050,Physics,68,81,77,90,70,71,80,81,72,84,55,84,84,55,79,72,78,59,64,1
1050,Chemistry,70,64,63,96,64,100,68,59,72,100,67,77,42,77,53,68,83,67,77,1
1050,Biology,66,71,53,100,47,76,66,80,55,71,62,68,83,77,67,55,67,65,42,1
1051,Math,62,77,80,68,60,61,81,67,77,41,62,63,64,46,64,85,72,64,62,1
1051,Physics,19,55,44,57,24,35,59,29,33,36,47,36,64,34,50,35,49,33,22,0
1051,Chemistry,51,81,46,66,74,73,75,68,32,73,68,66,75,78,72,84,91,72,66,1
1051,Biology,34,86,72,51,59,44,41,38,44,40,63,57,67,57,56,57,62,44,63,0
1052,Math,51,22,35,15,35,48,40,66,47,45,47,55,39,67,66,42,50,58,41,0
1052,Physics,38,65,63,85,41,61,57,46,39,54,72,97,75,70,70,69,75,73,75,1
1052,Chemistry,53,50,51,42,59,79,76,58,63,65,44,76,57,32,61,45,57,61,51,0
1052,Biology,73,40,67,65,99,83,76,67,39,48,63,71,63,70,77,62,64,59,81,1
1053,Math,35,34,75,57,43,49,50,64,62,48,73,52,45,73,35,42,72,55,51,0
1053,Physics,23,37,6,37,18,40,38,30,16,45,30,45,50,61,30,20,39,37,30,0
1053,Chemistry,74,85,62,58,64,83,74,87,64,61,51,63,61,67,57,61,65,78,65,1
1053,Biology,59,54,78,66,52,61,68,76,91,86,82,68,56,68,51,73,81,75,70,1
1054,Math,43,58,91,85,81,75,93,64,65,100,55,75,64,86,65,65,65,77,58,1
1054,Physics,16,26,31,46,57,18,54,52,39,52,33,57,33,22,16,64,24,22,38,0
1054,Chemistry,42,32,42,40,69,56,42,49,47,22,55,29,48,40,50,53,45,34,36,0
1054,Biology,47,35,35,26,32,80,48,22,23,47,56,45,49,38,16,28,33,29,57,0
1055,Math,87,66,79,68,100,75,84,80,72,65,75,84,80,76,68,76,59,69,49,1
1055,Physics,29,35,34,69,34,52,31,60,59,29,56,35,49,51,43,56,17,30,36,0
1055,Chemistry,72,49,58,30,16,62,80,21,47,63,58,56,54,43,68,64,58,32,71,1
1055,Biology,54,74,53,71,64,46,57,28,31,58,76,40,69,57,76,51,84,59,52,0
1056,Math,60,50,62,50,14,16,45,36,68,39,61,52,73,56,57,44,58,61,53,1
1056,Physics,50,46,35,58,49,30,26,39,29,34,23,51,42,43,49,17,40,37,46,0
1056,Chemistry,63,88,95,80,53,47,84,87,59,91,62,48,70,74,56,79,66,78,74,1
1056,Biology,34,42,53,17,74,36,68,74,35,41,65,75,48,42,59,67,43,47,66,0
1057,Math,73,57,70,77,85,74,69,44,78,77,73,70,71,81,65,57,79,66,67,1
1057,Physics,61,44,49,49,52,65,38,73,34,35,34,63,49,49,52,66,67,61,51,0
1057,Chemistry,73,85,100,67,86,98,90,100,80,100,74,84,93,87,76,87,99,84,80,1
1057,Biology,67,36,66,50,27,52,55,64,61,60,43,29,47,71,36,63,39,41,55,0
1058,Math,22,41,52,17,47,45,51,5,52,22,35,32,27,29,30,41,46,36,47,0
1058,Physics,56,38,62,67,85,77,41,46,74,62,73,24,53,51,56,48,48,50,47,0
1058,Chemistry,41,48,71,45,47,58,42,33,54,65,32,56,54,47,67,52,52,73,52,1
1058,Biology,32,69,59,71,51,69,73,59,51,50,45,50,47,56,56,51,58,76,57,1
1059,Math,29,72,57,49,67,53,41,52,42,56,51,54,40,43,74,78,65,65,70,0
1059,Physics,57,56,20,41,36,50,47,41,80,57,32,41,53,37,57,45,45,41,48,1
1059,Chemistry,70,76,73,100,80,80,83,78,56,85,71,84,75,97,85,96,82,72,90,1
1059,Biology,58,91,66,55,77,93,57,90,68,30,71,98,78,82,74,53,46,59,66,1
1060,Math,52,25,19,65,24,32,41,12,69,38,41,55,42,38,45,28,43,26,34,0
1060,Physics,75,66,52,93,56,19,78,44,38,54,74,84,50,57,57,48,49,53,54,0
1060,Chemistry,62,60,75,49,49,56,46,46,44,44,39,45,45,46,38,64,58,54,44,0
1060,Biology,94,81,83,86,83,99,72,74,87,81,93,98,100,96,81,83,81,96,82,1
1061,Math,39,43,57,81,69,52,42,60,55,56,58,73,54,57,75,31,57,35,56,0
1061,Physics,72,95,51,74,53,79,71,76,67,81,63,87,86,59,67,51,47,63,71,1
1061,Chemistry,72,15,60,31,78,86,68,43,72,88,59,49,72,39,51,54,56,66,53,0
1061,Biology,68,64,83,92,99,94,64,93,75,100,80,80,78,96,83,100,96,73,84,1
1062,Math,81,87,66,81,48,58,67,72,31,87,89,66,75,75,51,52,92,87,78,1
1062,Physics,64,41,44,36,51,43,59,45,59,61,60,60,56,45,31,58,40,58,54,1
1062,Chemistry,48,25,44,56,51,56,35,38,68,47,43,55,29,38,45,39,55,44,48,0
1062,Biology,42,62,62,55,63,86,55,45,73,77,57,69,30,60,52,77,57,73,53,1
1063,Math,48,35,31,23,54,45,53,41,44,42,46,17,27,36,33,44,28,54,27,0
1063,Physics,57,72,53,69,63,59,87,71,56,100,56,53,50,89,72,73,81,71,77,1
1063,Chemistry,65,76,57,58,82,60,52,69,69,47,55,41,55,53,67,51,43,61,56,0
1063,Biology,75,86,95,70,89,100,76,55,84,89,100,53,58,92,85,86,95,76,88,1
1064,Math,61,86,75,97,90,100,66,68,74,77,74,66,77,65,96,80,72,86,68,1
1064,Physics,75,79,68,55,81,71,60,68,83,68,70,76,65,62,56,59,78,67,77,1
1064,Chemistry,47,36,36,38,40,44,38,17,36,40,64,24,58,33,58,19,36,16,25,0
1064,Biology,32,25,48,14,63,46,64,67,51,47,30,63,31,28,40,34,26,40,31,0
1065,Math,88,95,83,74,69,75,79,99,97,73,93,70,94,65,96,82,87,83,74,1
1065,Physics,86,100,83,67,93,65,95,89,100,82,77,78,75,91,79,80,77,98,73,1
1065,Chemistry,100,77,85,85,100,76,71,78,73,63,56,85,79,100,78,81,96,67,92,1
1065,Biology,57,66,66,85,71,72,66,79,70,65,72,70,72,68,79,61,60,75,74,1
1066,Math,47,72,77,65,60,92,68,68,61,65,65,68,51,50,62,66,64,76,69,1
1066,Physics,65,78,56,34,61,56,67,62,45,54,52,51,54,61,51,40,60,57,50,1
1066,Chemistry,47,55,38,35,46,58,35,34,29,39,53,17,56,41,37,57,46,27,25,0
1066,Biology,43,49,45,47,51,38,38,48,63,40,14,51,42,30,29,8,32,37,44,0
1067,Math,59,0,36,49,53,42,45,62,36,35,60,16,54,50,34,33,39,44,44,0
1067,Physics,42,41,35,39,69,45,65,47,70,31,48,63,52,44,71,40,46,66,71,0
1067,Chemistry,35,42,53,74,68,69,47,65,66,67,54,48,68,73,52,58,65,70,72,1
1067,Biology,55,50,85,36,45,69,57,58,51,18,40,46,40,60,67,52,40,57,59,0
1068,Math,22,86,65,69,76,73,74,64,66,67,84,60,50,80,87,78,83,50,78,1
1068,Physics,61,57,59,70,31,30,38,67,56,46,39,30,58,54,59,64,57,68,51,1
1068,Chemistry,92,76,62,72,100,51,61,63,72,70,97,67,77,64,56,68,67,76,82,1
1068,Biology,33,37,34,29,63,63,53,20,32,23,55,61,50,47,46,27,53,39,26,0
1069,Math,58,72,66,45,50,40,49,45,70,59,63,48,52,60,45,59,63,49,54,1
1069,Physics,57,85,66,56,68,89,93,81,69,75,85,54,80,60,73,77,72,71,82,1
1069,Chemistry,43,23,38,26,41,51,25,30,35,42,44,24,43,48,17,66,59,30,31,0
1069,Biology,61,76,65,73,82,61,56,44,57,40,70,51,73,51,60,47,63,47,67,1
1070,Math,82,84,63,40,16,52,47,60,5,82,64,76,38,48,57,55,52,61,47,0
1070,Physics,71,68,58,49,100,91,58,39,87,100,96,79,66,65,86,75,92,65,79,1
1070,Chemistry,37,77,56,66,63,52,67,59,52,50,44,59,52,68,51,46,36,62,79,1
1070,Biology,54,45,65,60,65,56,51,70,50,72,46,57,46,65,47,47,64,58,54,1
1071,Math,45,49,29,47,12,40,26,50,33,73,42,44,13,23,51,33,50,32,45,0
1071,Physics,73,71,98,93,100,100,100,77,79,100,81,100,77,86,100,81,95,71,78,1
1071,Chemistry,50,1,51,57,32,58,29,37,32,63,56,56,26,41,26,41,45,53,38,0
1071,Biology,43,16,35,41,45,40,44,41,40,44,25,26,56,48,32,40,57,32,44,0
1072,Math,69,60,65,51,17,43,57,55,68,71,46,66,34,62,29,60,32,59,70,1
1072,Physics,67,29,41,70,53,63,100,98,79,59,78,75,68,90,47,86,65,83,68,1
1072,Chemistry,46,35,40,62,21,41,50,39,42,78,31,17,45,55,37,21,39,40,26,0
1072,Biology,73,65,69,70,88,55,76,68,38,81,72,50,48,82,91,71,68,77,63,1
